Date;Opérateur;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;Secteur d'activité;Statut;Consommation Journalière (MWh PCS 0°C)
2022-11-21;NaTran;23814.0;25002.0;25025.0;25132.0;25044.0;24862.0;24499.0;24319.0;23990.0;24293.0;24564.0;24655.0;24348.0;24429.0;24000.0;22927.0;19477.0;17623.0;16431.0;15880.0;15852.0;16121.0;16183.0;17451.0;Industriel;Définitif;525922.0
2022-11-19;NaTran;17196.0;19143.0;22170.0;21854.0;21795.0;22152.0;21966.0;21230.0;22218.0;22439.0;24210.0;24477.0;24314.0;24292.0;23572.0;22087.0;21877.0;21802.0;21145.0;19462.0;18720.0;18591.0;18324.0;18223.0;Industriel;Définitif;513259.0
2022-11-10;NaTran;25334.0;26244.0;26486.0;26023.0;25805.0;24843.0;24468.0;23641.0;24301.0;25263.0;25185.0;25606.0;25388.0;25191.0;24518.0;24082.0;23919.0;23593.0;23716.0;23335.0;23116.0;20209.0;19290.0;19725.0;Industriel;Définitif;579283.0
2022-11-07;NaTran;22796.0;23826.0;23990.0;23580.0;23020.0;22978.0;22022.0;21684.0;22412.0;23329.0;23314.0;23875.0;24044.0;24117.0;23036.0;21673.0;20716.0;20216.0;18431.0;17359.0;17666.0;17386.0;17334.0;17604.0;Industriel;Définitif;516410.0
2022-11-06;NaTran;17917.0;18089.0;18214.0;17791.0;18020.0;18364.0;18935.0;18375.0;18079.0;18612.0;18601.0;18838.0;18898.0;18738.0;18608.0;18563.0;18977.0;19091.0;18199.0;17735.0;17981.0;18297.0;19019.0;20309.0;Industriel;Définitif;444249.0
2022-11-05;NaTran;24167.0;24003.0;23450.0;23225.0;22937.0;22880.0;22592.0;22270.0;22366.0;22494.0;22900.0;23295.0;23285.0;23133.0;22988.0;22640.0;22544.0;22105.0;20608.0;20493.0;19103.0;18153.0;17913.0;17821.0;Industriel;Définitif;527365.0
2022-10-28;NaTran;22445.0;22339.0;22371.0;22700.0;23192.0;22624.0;21706.0;21108.0;20554.0;20654.0;20552.0;20202.0;20021.0;21000.0;21474.0;20679.0;19759.0;19683.0;19104.0;19588.0;19847.0;19441.0;20036.0;20287.0;Industriel;Définitif;501367.0
2022-10-26;NaTran;20227.0;20850.0;21687.0;21851.0;22190.0;22163.0;21097.0;19715.0;20348.0;20949.0;20737.0;20804.0;21163.0;21148.0;21624.0;21342.0;21039.0;20748.0;18819.0;16974.0;16927.0;16568.0;16658.0;16935.0;Industriel;Définitif;482565.0
2022-10-23;NaTran;18333.0;18485.0;18625.0;19430.0;19757.0;19113.0;18343.0;18096.0;18362.0;18284.0;18251.0;18434.0;18808.0;19514.0;19492.0;19266.0;19376.0;19016.0;18342.0;15493.0;15334.0;15230.0;15460.0;16464.0;Industriel;Définitif;435308.0
2022-10-21;NaTran;22350.0;23259.0;23533.0;23906.0;23579.0;23529.0;23344.0;23175.0;22517.0;22619.0;22907.0;22829.0;23007.0;23086.0;22279.0;21562.0;22054.0;21679.0;20733.0;21537.0;21937.0;21284.0;20438.0;20567.0;Industriel;Définitif;537708.0
